Rank,Team,ADJ EPA Per Play
490,WAS ( 2015 ),-0.013
491,NYJ ( 2011 ),-0.014
492,CAR ( 2014 ),-0.014
493,ATL ( 2015 ),-0.014
494,BUF ( 2016 ),-0.014
495,SEA ( 2023 ),-0.014
496,PIT ( 2023 ),-0.014
497,NYJ ( 2001 ),-0.015
498,CLE ( 2001 ),-0.016
499,BUF ( 2002 ),-0.016
500,MIN ( 2005 ),-0.016
501,BAL ( 2005 ),-0.016
502,BAL ( 2013 ),-0.016
503,GB ( 2013 ),-0.016
504,WAS ( 2020 ),-0.016
505,LAC ( 2022 ),-0.016
506,SF ( 2020 ),-0.017
507,TEN ( 2016 ),-0.018
508,DEN ( 2019 ),-0.018
509,CHI ( 2023 ),-0.018
510,PIT ( 2003 ),-0.019
511,PIT ( 2019 ),-0.019
512,PIT ( 2022 ),-0.019
513,LAC ( 2023 ),-0.019
514,NYJ ( 2003 ),-0.02
515,CLE ( 2007 ),-0.02
516,IND ( 2002 ),-0.021
517,TEN ( 2017 ),-0.021
518,HOU ( 2004 ),-0.022
519,WAS ( 2004 ),-0.022
520,SF ( 2014 ),-0.022
521,CLE ( 2018 ),-0.022
522,JAX ( 2004 ),-0.023
523,TB ( 2017 ),-0.023
524,CAR ( 2020 ),-0.023
525,CLE ( 2021 ),-0.023
526,CHI ( 2024 ),-0.023
527,NO ( 2004 ),-0.024
528,MIA ( 2009 ),-0.024
529,MIN ( 2011 ),-0.024
530,LA ( 2014 ),-0.024
531,NYG ( 2018 ),-0.024
532,ATL ( 2018 ),-0.024
533,DEN ( 2018 ),-0.024
534,NE ( 2020 ),-0.024
535,MIN ( 2006 ),-0.025
536,BUF ( 2000 ),-0.026
537,HOU ( 2008 ),-0.026
538,CIN ( 2010 ),-0.026
539,LAC ( 2014 ),-0.026
540,SEA ( 2001 ),-0.027
541,SEA ( 2004 ),-0.027
542,SF ( 2017 ),-0.027
543,TB ( 2025 ),-0.027
544,CHI ( 1999 ),-0.028
545,SF ( 2000 ),-0.028
546,DAL ( 2000 ),-0.028
547,GB ( 2005 ),-0.028
548,PHI ( 2005 ),-0.028
549,CAR ( 2006 ),-0.028
550,SF ( 2008 ),-0.028
551,MIN ( 2014 ),-0.028
552,JAX ( 2003 ),-0.029
553,WAS ( 2008 ),-0.029
554,DET ( 2016 ),-0.029
555,PIT ( 2021 ),-0.029
556,CAR ( 2022 ),-0.029
557,DAL ( 2010 ),-0.03
558,LV ( 2015 ),-0.03
559,PHI ( 2015 ),-0.03
560,LV ( 2021 ),-0.03
561,TEN ( 2006 ),-0.031
562,CAR ( 2002 ),-0.032
563,DET ( 2012 ),-0.032
564,TEN ( 2013 ),-0.032
565,GB ( 2018 ),-0.032
566,SF ( 2024 ),-0.032
567,CIN ( 2003 ),-0.033
568,CIN ( 2007 ),-0.033
569,ARI ( 2011 ),-0.033
570,ATL ( 2014 ),-0.033
571,DET ( 2018 ),-0.033
572,NYG ( 2004 ),-0.035
573,DET ( 2007 ),-0.035
574,BUF ( 2011 ),-0.035
575,CAR ( 2011 ),-0.035
576,IND ( 2019 ),-0.035
577,KC ( 2000 ),-0.036
578,ATL ( 2006 ),-0.036
579,CLE ( 2014 ),-0.036
580,LAC ( 2015 ),-0.036
581,TB ( 2022 ),-0.036
582,CAR ( 2007 ),-0.037
583,CHI ( 2009 ),-0.037
584,ARI ( 2007 ),-0.038
585,IND ( 2023 ),-0.038
586,CIN ( 2001 ),-0.039
587,WAS ( 2009 ),-0.039
588,MIN ( 2022 ),-0.039
589,LA ( 2012 ),-0.04
590,CHI ( 2013 ),-0.04
591,BAL ( 2015 ),-0.04
592,ATL ( 2022 ),-0.04
593,WAS ( 2001 ),-0.041
594,TEN ( 2022 ),-0.041
595,CAR ( 2025 ),-0.041
596,TEN ( 2009 ),-0.042
597,ARI ( 2017 ),-0.042
598,BAL ( 2002 ),-0.043
599,NO ( 2015 ),-0.043
600,GB ( 2017 ),-0.043
601,IND ( 2001 ),-0.045
602,CLE ( 2003 ),-0.045
603,BUF ( 2009 ),-0.045
604,BUF ( 2017 ),-0.045
605,NYG ( 2025 ),-0.045
606,WAS ( 2017 ),-0.046
607,NYJ ( 2017 ),-0.046
608,MIA ( 2024 ),-0.046
609,ATL ( 2025 ),-0.046
610,CLE ( 2012 ),-0.047
611,CHI ( 2017 ),-0.047
612,CLE ( 2019 ),-0.047
613,LA ( 2002 ),-0.048
614,GB ( 2006 ),-0.048
615,ARI ( 2019 ),-0.048
616,NYJ ( 2024 ),-0.048
617,WAS ( 2011 ),-0.049
618,TB ( 2013 ),-0.049
619,BUF ( 2013 ),-0.049
620,SEA ( 2000 ),-0.05
621,CLE ( 2004 ),-0.05
622,CLE ( 2011 ),-0.05
623,TB ( 2018 ),-0.05
624,DEN ( 2023 ),-0.05
625,CHI ( 2003 ),-0.051
626,WAS ( 2010 ),-0.051
627,MIA ( 2016 ),-0.051
628,ATL ( 2024 ),-0.051
629,ARI ( 2004 ),-0.052
630,BAL ( 2007 ),-0.052
631,CLE ( 2010 ),-0.052
632,BUF ( 2005 ),-0.053
633,JAX ( 2008 ),-0.053
634,ARI ( 2012 ),-0.053
635,LA ( 2004 ),-0.054
636,DET ( 2015 ),-0.054
637,CHI ( 2015 ),-0.054
638,LAC ( 2020 ),-0.054
639,WAS ( 2006 ),-0.055
640,CAR ( 2021 ),-0.055
641,DET ( 2004 ),-0.056
642,ARI ( 2005 ),-0.056
643,NYG ( 2020 ),-0.056
644,PHI ( 2020 ),-0.056
645,MIA ( 2021 ),-0.056
646,LV ( 2017 ),-0.057
647,MIN ( 2002 ),-0.058
648,MIA ( 2004 ),-0.058
649,ATL ( 2013 ),-0.058
650,CLE ( 2005 ),-0.059
651,ATL ( 2001 ),-0.06
652,TEN ( 2001 ),-0.06
653,ARI ( 2006 ),-0.06
654,MIN ( 2010 ),-0.06
655,WAS ( 2021 ),-0.06
656,DEN ( 2022 ),-0.06
657,TEN ( 2023 ),-0.06
658,WAS ( 2002 ),-0.061
659,HOU ( 2003 ),-0.062
660,SF ( 2010 ),-0.062
661,JAX ( 2018 ),-0.062
662,MIN ( 2020 ),-0.062
663,NO ( 2024 ),-0.062
664,DEN ( 2011 ),-0.063
665,IND ( 2012 ),-0.064
666,DET ( 2019 ),-0.064
667,IND ( 2024 ),-0.064
668,DAL ( 2025 ),-0.064
669,ARI ( 2001 ),-0.065
670,WAS ( 2003 ),-0.065
671,JAX ( 2010 ),-0.065
672,MIN ( 2013 ),-0.065
673,LA ( 2015 ),-0.065
674,IND ( 2015 ),-0.065
675,CIN ( 2018 ),-0.065
676,NYJ ( 2018 ),-0.065
677,DEN ( 2007 ),-0.066
678,LV ( 2011 ),-0.066
679,ATL ( 2023 ),-0.066
680,ARI ( 2025 ),-0.066
681,CHI ( 2002 ),-0.067
682,LV ( 2003 ),-0.067
683,DAL ( 2015 ),-0.067
684,JAX ( 2016 ),-0.067
685,NO ( 2001 ),-0.068
686,DET ( 2006 ),-0.068
687,CIN ( 2017 ),-0.068
688,HOU ( 2020 ),-0.068
689,DET ( 2003 ),-0.069
