Rank,Team,ADJ EPA Per Play
566,DAL ( 2015 ),-0.04
567,TEN ( 2017 ),-0.04
568,ATL ( 2022 ),-0.04
569,CIN ( 2000 ),-0.041
570,KC ( 2001 ),-0.041
571,BAL ( 2015 ),-0.041
572,MIA ( 2018 ),-0.041
573,TEN ( 2022 ),-0.041
574,HOU ( 2023 ),-0.041
575,ATL ( 2023 ),-0.041
576,SF ( 2002 ),-0.042
577,NE ( 2011 ),-0.043
578,DAL ( 2014 ),-0.043
579,TEN ( 2016 ),-0.043
580,HOU ( 2019 ),-0.043
581,JAX ( 2000 ),-0.044
582,SEA ( 2003 ),-0.044
583,CLE ( 2006 ),-0.044
584,LAC ( 2006 ),-0.044
585,GB ( 2011 ),-0.044
586,MIA ( 2017 ),-0.044
587,ATL ( 1999 ),-0.045
588,NYJ ( 2003 ),-0.045
589,GB ( 2013 ),-0.045
590,IND ( 1999 ),-0.046
591,DET ( 2002 ),-0.046
592,SF ( 2004 ),-0.046
593,CLE ( 2009 ),-0.046
594,JAX ( 2016 ),-0.046
595,PIT ( 2017 ),-0.046
596,KC ( 2006 ),-0.047
597,CIN ( 2017 ),-0.047
598,IND ( 2000 ),-0.048
599,ATL ( 2001 ),-0.048
600,SEA ( 2004 ),-0.048
601,ATL ( 2007 ),-0.048
602,MIN ( 2013 ),-0.048
603,NYG ( 2015 ),-0.048
604,TEN ( 2004 ),-0.049
605,IND ( 2011 ),-0.049
606,LAC ( 2015 ),-0.049
607,SEA ( 2002 ),-0.05
608,DAL ( 2006 ),-0.05
609,LAC ( 2011 ),-0.05
610,IND ( 2012 ),-0.05
611,MIA ( 2023 ),-0.05
612,ARI ( 1999 ),-0.051
613,LAC ( 2005 ),-0.051
614,ARI ( 2006 ),-0.051
615,KC ( 2009 ),-0.051
616,TEN ( 2012 ),-0.051
617,CHI ( 2016 ),-0.051
618,KC ( 2002 ),-0.052
619,TEN ( 2006 ),-0.052
620,NYG ( 2011 ),-0.052
621,LAC ( 2014 ),-0.052
622,CLE ( 2019 ),-0.052
623,CAR ( 2019 ),-0.052
624,KC ( 2003 ),-0.053
625,LV ( 2003 ),-0.053
626,PHI ( 2012 ),-0.053
627,CLE ( 2007 ),-0.054
628,NYJ ( 2007 ),-0.054
629,PIT ( 2009 ),-0.054
630,MIA ( 2015 ),-0.054
631,GB ( 2016 ),-0.054
632,LAC ( 2020 ),-0.054
633,GB ( 2023 ),-0.054
634,SEA ( 2008 ),-0.055
635,LV ( 2015 ),-0.055
636,CAR ( 2021 ),-0.055
637,LA ( 2023 ),-0.055
638,LV ( 2009 ),-0.056
639,NO ( 2012 ),-0.056
640,LAC ( 2013 ),-0.056
641,KC ( 2018 ),-0.056
642,NYG ( 2020 ),-0.056
643,PHI ( 2020 ),-0.056
644,MIA ( 2021 ),-0.056
645,NYJ ( 2014 ),-0.057
646,CAR ( 2023 ),-0.057
647,CIN ( 2005 ),-0.058
648,KC ( 2012 ),-0.058
649,JAX ( 2013 ),-0.058
650,NYJ ( 2002 ),-0.059
651,JAX ( 2002 ),-0.059
652,JAX ( 2008 ),-0.059
653,TEN ( 2015 ),-0.059
654,SF ( 2015 ),-0.059
655,LA ( 2008 ),-0.06
656,JAX ( 2012 ),-0.06
657,CLE ( 2015 ),-0.06
658,WAS ( 2021 ),-0.06
659,DEN ( 2022 ),-0.06
660,CIN ( 2023 ),-0.061
661,IND ( 2006 ),-0.062
662,DET ( 2019 ),-0.062
663,MIN ( 2020 ),-0.062
664,GB ( 1999 ),-0.063
665,IND ( 2003 ),-0.063
666,SEA ( 2010 ),-0.063
667,BUF ( 2012 ),-0.063
668,SF ( 2016 ),-0.063
669,NE ( 2017 ),-0.063
670,SF ( 2005 ),-0.064
671,DET ( 2015 ),-0.064
672,TB ( 2017 ),-0.064
673,JAX ( 2015 ),-0.065
674,BUF ( 2001 ),-0.066
675,ARI ( 2002 ),-0.066
676,LV ( 2005 ),-0.066
677,CIN ( 2006 ),-0.066
678,DET ( 2006 ),-0.066
679,SF ( 2018 ),-0.066
680,KC ( 2000 ),-0.067
681,CIN ( 2007 ),-0.067
682,TEN ( 2009 ),-0.067
683,TB ( 2015 ),-0.067
684,CIN ( 2018 ),-0.067
685,SEA ( 2000 ),-0.068
686,HOU ( 2008 ),-0.068
687,KC ( 2008 ),-0.068
688,NYG ( 2009 ),-0.068
689,TB ( 2018 ),-0.068
690,HOU ( 2020 ),-0.068
691,SEA ( 2023 ),-0.068
692,ARI ( 2001 ),-0.069
693,MIN ( 2001 ),-0.069
694,WAS ( 2016 ),-0.069
695,LA ( 2022 ),-0.069
696,NO ( 2016 ),-0.07
697,IND ( 2016 ),-0.07
698,SF ( 2017 ),-0.07
699,IND ( 2023 ),-0.07
700,JAX ( 2019 ),-0.071
701,CHI ( 2015 ),-0.073
702,LA ( 2006 ),-0.074
703,LA ( 2009 ),-0.074
704,CHI ( 2013 ),-0.074
705,LV ( 2017 ),-0.074
706,KC ( 2004 ),-0.075
707,ATL ( 2014 ),-0.075
708,DET ( 2016 ),-0.075
709,CAR ( 1999 ),-0.076
710,GB ( 2004 ),-0.076
711,HOU ( 2006 ),-0.076
712,CHI ( 2014 ),-0.076
713,NYJ ( 2006 ),-0.077
714,NO ( 1999 ),-0.078
715,LA ( 2004 ),-0.078
716,GB ( 2018 ),-0.078
717,ARI ( 2019 ),-0.078
718,DET ( 2001 ),-0.079
719,LA ( 2000 ),-0.08
720,NYG ( 2019 ),-0.08
721,ARI ( 2022 ),-0.08
722,DAL ( 2004 ),-0.081
723,MIA ( 2009 ),-0.081
724,ATL ( 2018 ),-0.081
725,CIN ( 2020 ),-0.081
726,DEN ( 2023 ),-0.081
727,TB ( 2011 ),-0.082
728,ATL ( 2013 ),-0.082
729,DAL ( 2020 ),-0.082
730,HOU ( 2017 ),-0.083
731,LV ( 2004 ),-0.084
