spread_line,result,normalized_modeled_prob
-16.0,72,0.0000000
-16.0,73,0.0000000
-16.0,74,0.0000000
-15.5,-75,0.0000005
-15.5,-74,0.0000007
-15.5,-73,0.0000009
-15.5,-72,0.0000012
-15.5,-71,0.0000016
-15.5,-70,0.0000022
-15.5,-69,0.0000029
-15.5,-68,0.0000039
-15.5,-67,0.0000051
-15.5,-66,0.0000067
-15.5,-65,0.0000088
-15.5,-64,0.0000114
-15.5,-63,0.0000147
-15.5,-62,0.0000189
-15.5,-61,0.0000242
-15.5,-60,0.0000307
-15.5,-59,0.0000388
-15.5,-58,0.0000488
-15.5,-57,0.0000610
-15.5,-56,0.0000759
-15.5,-55,0.0000940
-15.5,-54,0.0001157
-15.5,-53,0.0001416
-15.5,-52,0.0001725
-15.5,-51,0.0002090
-15.5,-50,0.0002518
-15.5,-49,0.0003018
-15.5,-48,0.0003598
-15.5,-47,0.0004267
-15.5,-46,0.0005057
-15.5,-45,0.0008021
-15.5,-44,0.0038165
-15.5,-43,0.0087041
-15.5,-42,0.0075593
-15.5,-41,0.0098898
-15.5,-40,0.0050107
-15.5,-39,0.0058267
-15.5,-38,0.0118924
-15.5,-37,0.0059664
-15.5,-36,0.0026127
-15.5,-35,0.0076347
-15.5,-34,0.0157946
-15.5,-33,0.0085611
-15.5,-32,0.0099929
-15.5,-31,0.0196588
-15.5,-30,0.0107155
-15.5,-29,0.0125664
-15.5,-28,0.0246195
-15.5,-27,0.0126465
-15.5,-26,0.0058419
-15.5,-25,0.0165314
-15.5,-24,0.0339315
-15.5,-23,0.0180496
-15.5,-22,0.0220733
-15.5,-21,0.0445871
-15.5,-20,0.0216182
-15.5,-19,0.0087340
-15.5,-18,0.0332353
-15.5,-17,0.0730216
-15.5,-16,0.0351682
-15.5,-15,0.0347689
-15.5,-14,0.0721926
-15.5,-13,0.0328580
-15.5,-12,0.0086349
-15.5,-11,0.0213728
-15.5,-10,0.0440809
-15.5,-9,0.0218227
-15.5,-8,0.0178447
-15.5,-7,0.0335463
-15.5,-6,0.0163437
-15.5,-5,0.0057756
-15.5,-4,0.0125029
-15.5,-3,0.0243349
-15.5,-2,0.0119740
-15.5,-1,0.0039512
-15.5,0,0.0007913
-15.5,1,0.0033281
-15.5,2,0.0082206
-15.5,3,0.0159756
-15.5,4,0.0077077
-15.5,5,0.0026321
-15.5,6,0.0059990
-15.5,7,0.0119352
-15.5,8,0.0058376
-15.5,9,0.0050098
-15.5,10,0.0096670
-15.5,11,0.0044258
-15.5,12,0.0012222
-15.5,13,0.0034655
-15.5,14,0.0073957
-15.5,15,0.0034312
-15.5,16,0.0029615
-15.5,17,0.0061220
-15.5,18,0.0026482
-15.5,19,0.0005372
-15.5,20,0.0021102
-15.5,21,0.0048355
-15.5,22,0.0021509
-15.5,23,0.0018758
-15.5,24,0.0040995
-15.5,25,0.0017082
-15.5,26,0.0002618
-15.5,27,0.0013921
-15.5,28,0.0033331
-15.5,29,0.0014516
-15.5,30,0.0012799
-15.5,31,0.0028782
-15.5,32,0.0011796
-15.5,33,0.0000901
-15.5,34,0.0000096
-15.5,35,0.0000067
-15.5,36,0.0000051
-15.5,37,0.0000038
-15.5,38,0.0000029
-15.5,39,0.0000022
-15.5,40,0.0000016
-15.5,41,0.0000012
-15.5,42,0.0000009
-15.5,43,0.0000007
-15.5,44,0.0000005
-15.5,45,0.0000004
-15.5,46,0.0000003
-15.5,47,0.0000002
-15.5,48,0.0000001
-15.5,49,0.0000001
-15.5,50,0.0000001
-15.5,51,0.0000001
-15.5,52,0.0000000
-15.5,53,0.0000000
-15.5,54,0.0000000
-15.5,55,0.0000000
-15.5,56,0.0000000
-15.5,57,0.0000000
-15.5,58,0.0000000
-15.5,59,0.0000000
-15.5,60,0.0000000
-15.5,61,0.0000000
-15.5,62,0.0000000
-15.5,63,0.0000000
-15.5,64,0.0000000
-15.5,65,0.0000000
-15.5,66,0.0000000
-15.5,67,0.0000000
-15.5,68,0.0000000
-15.5,69,0.0000000
-15.5,70,0.0000000
-15.5,71,0.0000000
-15.5,72,0.0000000
-15.5,73,0.0000000
-15.5,74,0.0000000
-15.0,-75,0.0000004
-15.0,-74,0.0000006
-15.0,-73,0.0000008
-15.0,-72,0.0000011
-15.0,-71,0.0000014
-15.0,-70,0.0000019
-15.0,-69,0.0000026
-15.0,-68,0.0000034
-15.0,-67,0.0000045
-15.0,-66,0.0000059
-15.0,-65,0.0000078
-15.0,-64,0.0000101
-15.0,-63,0.0000131
-15.0,-62,0.0000169
-15.0,-61,0.0000216
-15.0,-60,0.0000276
-15.0,-59,0.0000349
-15.0,-58,0.0000440
-15.0,-57,0.0000552
-15.0,-56,0.0000689
-15.0,-55,0.0000855
-15.0,-54,0.0001055
-15.0,-53,0.0001295
-15.0,-52,0.0001582
-15.0,-51,0.0001921
-15.0,-50,0.0002321
-15.0,-49,0.0002790
-15.0,-48,0.0003335
-15.0,-47,0.0003965
-15.0,-46,0.0004713
-15.0,-45,0.0007597
-15.0,-44,0.0037192
-15.0,-43,0.0085195
-15.0,-42,0.0073886
-15.0,-41,0.0096717
-15.0,-40,0.0048773
-15.0,-39,0.0056705
-15.0,-38,0.0116160
-15.0,-37,0.0058044
-15.0,-36,0.0025147
-15.0,-35,0.0074268
-15.0,-34,0.0154097
-15.0,-33,0.0083367
-15.0,-32,0.0097265
-15.0,-31,0.0191628
-15.0,-30,0.0104421
-15.0,-29,0.0122327
-15.0,-28,0.0239658
-15.0,-27,0.0123323
-15.0,-26,0.0057226
-15.0,-25,0.0160672
-15.0,-24,0.0329024
-15.0,-23,0.0175617
-15.0,-22,0.0213517
-15.0,-21,0.0429476
-15.0,-20,0.0209499
-15.0,-19,0.0085633
-15.0,-18,0.0312859
-15.0,-17,0.0682246
-15.0,-16,0.0334669
-15.0,-15,0.0373471
-15.0,-14,0.0770380
-15.0,-13,0.0347716
-15.0,-12,0.0087037
-15.0,-11,0.0217582
-15.0,-10,0.0451607
-15.0,-9,0.0222553
-15.0,-8,0.0180780
-15.0,-7,0.0341075
-15.0,-6,0.0165733
-15.0,-5,0.0058038
-15.0,-4,0.0126304
-15.0,-3,0.0246343
-15.0,-2,0.0121189
-15.0,-1,0.0039986
-15.0,0,0.0007708
-15.0,1,0.0033857
-15.0,2,0.0083257
-15.0,3,0.0161514
-15.0,4,0.0078135
-15.0,5,0.0026945
-15.0,6,0.0060802
-15.0,7,0.0120502
-15.0,8,0.0059145
-15.0,9,0.0050746
-15.0,10,0.0097478
-15.0,11,0.0044819
-15.0,12,0.0012619
-15.0,13,0.0035066
-15.0,14,0.0074421
-15.0,15,0.0034655
-15.0,16,0.0029893
-15.0,17,0.0061497
-15.0,18,0.0026697
-15.0,19,0.0005541
-15.0,20,0.0021240
-15.0,21,0.0048461
-15.0,22,0.0021606
-15.0,23,0.0018827
-15.0,24,0.0041020
-15.0,25,0.0017125
-15.0,26,0.0002667
-15.0,27,0.0013935
-15.0,28,0.0033293
-15.0,29,0.0014513
-15.0,30,0.0012787
-15.0,31,0.0028718
-15.0,32,0.0011784
-15.0,33,0.0001566
-15.0,34,0.0009769
-15.0,35,0.0023783
-15.0,36,0.0009720
-15.0,37,0.0000697
-15.0,38,0.0000040
-15.0,39,0.0000025
-15.0,40,0.0000018
-15.0,41,0.0000014
-15.0,42,0.0000010
-15.0,43,0.0000007
-15.0,44,0.0000005
-15.0,45,0.0000004
-15.0,46,0.0000003
-15.0,47,0.0000002
-15.0,48,0.0000002
-15.0,49,0.0000001
-15.0,50,0.0000001
-15.0,51,0.0000001
-15.0,52,0.0000000
-15.0,53,0.0000000
-15.0,54,0.0000000
-15.0,55,0.0000000
-15.0,56,0.0000000
-15.0,57,0.0000000
-15.0,58,0.0000000
-15.0,59,0.0000000
-15.0,60,0.0000000
-15.0,61,0.0000000
