Rank,Team,ADJ EPA Per Play
714,WAS ( 2019 ),-0.066
715,CLE ( 2008 ),-0.067
716,BUF ( 2009 ),-0.067
717,LV ( 2013 ),-0.067
718,JAX ( 2021 ),-0.067
719,CAR ( 2024 ),-0.067
720,CHI ( 2000 ),-0.068
721,BAL ( 2004 ),-0.068
722,BAL ( 2005 ),-0.068
723,WAS ( 2010 ),-0.068
724,CAR ( 2023 ),-0.068
725,ATL ( 2003 ),-0.069
726,TB ( 2004 ),-0.07
727,CHI ( 2005 ),-0.07
728,DET ( 2008 ),-0.072
729,CHI ( 2011 ),-0.072
730,LA ( 2020 ),-0.072
731,PHI ( 1999 ),-0.073
732,DET ( 2002 ),-0.073
733,LA ( 2012 ),-0.073
734,WAS ( 2020 ),-0.073
735,CHI ( 2021 ),-0.073
736,ARI ( 2003 ),-0.074
737,DET ( 2004 ),-0.074
738,BUF ( 2013 ),-0.074
739,CLE ( 2013 ),-0.074
740,NYJ ( 2016 ),-0.074
741,CIN ( 2000 ),-0.075
742,LV ( 2009 ),-0.076
743,NO ( 2024 ),-0.076
744,DAL ( 2024 ),-0.078
745,DET ( 2000 ),-0.079
746,MIN ( 2010 ),-0.079
747,PHI ( 2020 ),-0.079
748,CLE ( 2009 ),-0.08
749,CLE ( 2012 ),-0.08
750,CHI ( 2020 ),-0.08
751,SF ( 2016 ),-0.081
752,JAX ( 2018 ),-0.081
753,LAC ( 2020 ),-0.081
754,NO ( 2005 ),-0.082
755,NYJ ( 2013 ),-0.082
756,DET ( 2003 ),-0.083
757,ATL ( 2007 ),-0.083
758,DEN ( 2017 ),-0.083
759,MIN ( 2006 ),-0.084
760,PHI ( 2005 ),-0.085
761,TB ( 2014 ),-0.086
762,NYG ( 2017 ),-0.086
763,ATL ( 2000 ),-0.087
764,CAR ( 2021 ),-0.087
765,ARI ( 2004 ),-0.088
766,DAL ( 2001 ),-0.09
767,LA ( 2002 ),-0.09
768,DET ( 2009 ),-0.09
769,TB ( 2009 ),-0.09
770,IND ( 2011 ),-0.09
771,NYJ ( 2018 ),-0.091
772,NE ( 2024 ),-0.092
773,TB ( 2006 ),-0.093
774,LV ( 2008 ),-0.093
775,TEN ( 2012 ),-0.093
776,PHI ( 2012 ),-0.094
777,HOU ( 2021 ),-0.094
778,LAC ( 2000 ),-0.095
779,JAX ( 2014 ),-0.095
780,KC ( 2007 ),-0.096
781,LV ( 2014 ),-0.096
782,WAS ( 2013 ),-0.098
783,HOU ( 2016 ),-0.098
784,CAR ( 2001 ),-0.099
785,LA ( 2007 ),-0.099
786,KC ( 2011 ),-0.1
787,PIT ( 2019 ),-0.101
788,NYG ( 2021 ),-0.101
789,HOU ( 2022 ),-0.104
790,SF ( 2004 ),-0.105
791,SF ( 2007 ),-0.106
792,JAX ( 2012 ),-0.106
793,CAR ( 2002 ),-0.107
794,CIN ( 2008 ),-0.107
795,JAX ( 2011 ),-0.108
796,NYJ ( 2012 ),-0.108
797,WAS ( 2004 ),-0.109
798,JAX ( 2013 ),-0.11
799,NYG ( 2023 ),-0.11
800,NYG ( 2024 ),-0.11
801,LA ( 2015 ),-0.111
802,JAX ( 2020 ),-0.111
803,IND ( 2022 ),-0.111
804,BUF ( 2018 ),-0.112
805,HOU ( 2013 ),-0.113
806,NYJ ( 2019 ),-0.113
807,DEN ( 2020 ),-0.113
808,LV ( 2024 ),-0.114
809,SF ( 2005 ),-0.115
810,KC ( 2012 ),-0.117
811,TEN ( 2024 ),-0.118
