Player,POS,GP,Total EPA,EPA per Game,EPA per Play,Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Tyler Higbee,TE,16,17.830616768145887,1.114413548009118,0.2511354474386745,0,0,0,0,0,17.830616768145887,0.3793748248541678,0.2511354474386745
Michael Mayer,TE,12,16.932924500738924,1.4110770417282437,0.4233231125184731,0,0,0,0,0,16.932924500738924,0.6271453518792194,0.4233231125184731
Cade Otton,TE,18,15.83697022662183,0.8798316792567683,0.18415081658862592,0,0,0,0,0,15.83697022662183,0.26394950377703047,0.18415081658862592
Tucker Kraft,TE,12,14.762097538717347,1.2301747948931123,0.30126729670851726,0,0,0,0,0,14.762097538717347,0.41005826496437076,0.30126729670851726
Kyle Pitts,TE,17,14.424096301770069,0.8484762530452982,0.15850655276670406,0,0,0,-1.592226018036397,-1.592226018036397,16.016322319806466,0.3021947607510654,0.1779591368867385
Kylen Granson,TE,15,13.887923515038848,0.9258615676692565,0.27231222578507547,0,0,0,2.855417230205282,2.855417230205282,11.032506284833566,0.3677502094944522,0.22065012569667133
Darren Waller,TE,12,13.55596620567444,1.12966385047287,0.18318873250911408,0,0,0,0,0,13.55596620567444,0.26069165780143155,0.18318873250911408
Davis Allen,TE,5,12.876524619355038,2.5753049238710077,0.9905018937965414,0,0,0,0,0,12.876524619355038,1.0730437182795864,0.9905018937965414
Dallas Goedert,TE,15,12.713878724044742,0.8475919149363161,0.1412653191560527,0,0,0,-0.5141471938810712,-0.5141471938810712,13.228025917925812,0.2099686653639018,0.14862950469579564
Evan Engram,TE,17,12.17338215170873,0.7160813030416899,0.08512854651544566,0,0,0,0,0,12.17338215170873,0.10678405396235728,0.08512854651544566
Noah Fant,TE,14,12.062815086120215,0.8616296490085869,0.2805305833981446,0,0,0,0,0,12.062815086120215,0.37696297144125673,0.2805305833981446
Tanner Hudson,TE,12,11.442445428970103,0.9535371190808419,0.22884890857940207,-2.2643815996237797,0,0,0,0,13.706827028593883,0.3514571032972791,0.27413654057187764
Austin Hooper,TE,16,11.28323173684433,0.7052019835527706,0.36397521731755905,0,0,0,0,0,11.28323173684433,0.4513292694737732,0.36397521731755905
