Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTm,VisTm
13,Sun,2012-12-02,1:03PM,New York Jets,,Arizona Cardinals,boxscore,7,6,289,4,137,1,New York Jets,Arizona Cardinals
13,Sun,2012-12-02,4:05PM,Denver Broncos,,Tampa Bay Buccaneers,boxscore,31,23,333,1,306,1,Denver Broncos,Tampa Bay Buccaneers
13,Sun,2012-12-02,4:25PM,Cincinnati Bengals,@,San Diego Chargers,boxscore,20,13,339,3,297,2,San Diego Chargers,Cincinnati Bengals
13,Sun,2012-12-02,4:25PM,Cleveland Browns,@,Oakland Raiders,boxscore,20,17,475,2,429,1,Oakland Raiders,Cleveland Browns
13,Sun,2012-12-02,4:25PM,Pittsburgh Steelers,@,Baltimore Ravens,boxscore,23,20,366,3,288,2,Baltimore Ravens,Pittsburgh Steelers
13,Sun,2012-12-02,8:20PM,Dallas Cowboys,,Philadelphia Eagles,boxscore,38,33,417,0,423,1,Dallas Cowboys,Philadelphia Eagles
13,Mon,2012-12-03,8:40PM,Washington Redskins,,New York Giants,boxscore,17,16,370,1,390,0,Washington Redskins,New York Giants
14,Thu,2012-12-06,8:30PM,Denver Broncos,@,Oakland Raiders,boxscore,26,13,428,1,324,2,Oakland Raiders,Denver Broncos
14,Sun,2012-12-09,1:02PM,St. Louis Rams,@,Buffalo Bills,boxscore,15,12,285,1,281,2,Buffalo Bills,St. Louis Rams
14,Sun,2012-12-09,1:02PM,Cleveland Browns,,Kansas City Chiefs,boxscore,30,7,352,0,310,1,Cleveland Browns,Kansas City Chiefs
14,Sun,2012-12-09,1:02PM,Indianapolis Colts,,Tennessee Titans,boxscore,27,23,269,2,356,2,Indianapolis Colts,Tennessee Titans
14,Sun,2012-12-09,1:02PM,New York Jets,@,Jacksonville Jaguars,boxscore,17,10,270,2,291,2,Jacksonville Jaguars,New York Jets
14,Sun,2012-12-09,1:02PM,San Diego Chargers,@,Pittsburgh Steelers,boxscore,34,24,294,0,340,2,Pittsburgh Steelers,San Diego Chargers
14,Sun,2012-12-09,1:03PM,Dallas Cowboys,@,Cincinnati Bengals,boxscore,20,19,288,1,336,1,Cincinnati Bengals,Dallas Cowboys
14,Sun,2012-12-09,1:03PM,Philadelphia Eagles,@,Tampa Bay Buccaneers,boxscore,23,21,367,1,314,0,Tampa Bay Buccaneers,Philadelphia Eagles
14,Sun,2012-12-09,1:03PM,Washington Redskins,,Baltimore Ravens,boxscore,31,28,423,1,359,2,Washington Redskins,Baltimore Ravens
14,Sun,2012-12-09,1:04PM,Carolina Panthers,,Atlanta Falcons,boxscore,30,20,475,0,362,1,Carolina Panthers,Atlanta Falcons
14,Sun,2012-12-09,1:05PM,Minnesota Vikings,,Chicago Bears,boxscore,21,14,248,1,438,2,Minnesota Vikings,Chicago Bears
14,Sun,2012-12-09,4:05PM,San Francisco 49ers,,Miami Dolphins,boxscore,27,13,321,0,227,1,San Francisco 49ers,Miami Dolphins
14,Sun,2012-12-09,4:26PM,Seattle Seahawks,,Arizona Cardinals,boxscore,58,0,493,1,154,8,Seattle Seahawks,Arizona Cardinals
14,Sun,2012-12-09,4:26PM,New York Giants,,New Orleans Saints,boxscore,52,27,394,2,487,4,New York Giants,New Orleans Saints
14,Sun,2012-12-09,8:30PM,Green Bay Packers,,Detroit Lions,boxscore,27,20,288,1,386,2,Green Bay Packers,Detroit Lions
14,Mon,2012-12-10,8:40PM,New England Patriots,,Houston Texans,boxscore,42,14,419,1,323,1,New England Patriots,Houston Texans
15,Thu,2012-12-13,8:30PM,Cincinnati Bengals,@,Philadelphia Eagles,boxscore,34,13,249,2,219,5,Philadelphia Eagles,Cincinnati Bengals
15,Sun,2012-12-16,1:00PM,Minnesota Vikings,@,St. Louis Rams,boxscore,36,22,322,0,432,2,St. Louis Rams,Minnesota Vikings
15,Sun,2012-12-16,1:02PM,Houston Texans,,Indianapolis Colts,boxscore,29,17,417,0,272,1,Houston Texans,Indianapolis Colts
15,Sun,2012-12-16,1:02PM,Denver Broncos,@,Baltimore Ravens,boxscore,34,17,350,0,278,2,Baltimore Ravens,Denver Broncos
15,Sun,2012-12-16,1:03PM,Atlanta Falcons,,New York Giants,boxscore,34,0,394,0,256,3,Atlanta Falcons,New York Giants
15,Sun,2012-12-16,1:03PM,Green Bay Packers,@,Chicago Bears,boxscore,21,13,391,2,190,1,Chicago Bears,Green Bay Packers
15,Sun,2012-12-16,1:03PM,Washington Redskins,@,Cleveland Browns,boxscore,38,21,430,1,291,2,Cleveland Browns,Washington Redskins
15,Sun,2012-12-16,1:03PM,Miami Dolphins,,Jacksonville Jaguars,boxscore,24,3,389,1,299,0,Miami Dolphins,Jacksonville Jaguars
15,Sun,2012-12-16,1:03PM,New Orleans Saints,,Tampa Bay Buccaneers,boxscore,41,0,447,0,386,5,New Orleans Saints,Tampa Bay Buccaneers
15,Sun,2012-12-16,4:05PM,Seattle Seahawks,@,Buffalo Bills,boxscore,50,17,466,0,333,3,Buffalo Bills,Seattle Seahawks
15,Sun,2012-12-16,4:05PM,Carolina Panthers,@,San Diego Chargers,boxscore,31,7,372,1,164,2,San Diego Chargers,Carolina Panthers
15,Sun,2012-12-16,4:05PM,Arizona Cardinals,,Detroit Lions,boxscore,38,10,196,1,312,4,Arizona Cardinals,Detroit Lions
15,Sun,2012-12-16,4:25PM,Dallas Cowboys,,Pittsburgh Steelers,boxscore,27,24,415,1,388,2,Dallas Cowboys,Pittsburgh Steelers
15,Sun,2012-12-16,4:25PM,Oakland Raiders,,Kansas City Chiefs,boxscore,15,0,385,1,119,1,Oakland Raiders,Kansas City Chiefs
15,Sun,2012-12-16,8:30PM,San Francisco 49ers,@,New England Patriots,boxscore,41,34,388,2,520,4,New England Patriots,San Francisco 49ers
15,Mon,2012-12-17,8:40PM,Tennessee Titans,,New York Jets,boxscore,14,10,294,0,253,5,Tennessee Titans,New York Jets
16,Sat,2012-12-22,8:40PM,Atlanta Falcons,@,Detroit Lions,boxscore,31,18,344,0,522,3,Detroit Lions,Atlanta Falcons
16,Sun,2012-12-23,1:02PM,Miami Dolphins,,Buffalo Bills,boxscore,24,10,301,0,381,4,Miami Dolphins,Buffalo Bills
16,Sun,2012-12-23,1:02PM,Cincinnati Bengals,@,Pittsburgh Steelers,boxscore,13,10,267,3,280,3,Pittsburgh Steelers,Cincinnati Bengals
16,Sun,2012-12-23,1:02PM,New Orleans Saints,@,Dallas Cowboys,boxscore,34,31,562,0,446,1,Dallas Cowboys,New Orleans Saints
16,Sun,2012-12-23,1:02PM,Green Bay Packers,,Tennessee Titans,boxscore,55,7,460,0,180,2,Green Bay Packers,Tennessee Titans
16,Sun,2012-12-23,1:02PM,New England Patriots,@,Jacksonville Jaguars,boxscore,23,16,349,2,436,3,Jacksonville Jaguars,New England Patriots
16,Sun,2012-12-23,1:03PM,Indianapolis Colts,@,Kansas City Chiefs,boxscore,20,13,288,0,507,3,Kansas City Chiefs,Indianapolis Colts
16,Sun,2012-12-23,1:03PM,Minnesota Vikings,@,Houston Texans,boxscore,23,6,345,1,187,2,Houston Texans,Minnesota Vikings
16,Sun,2012-12-23,1:03PM,San Diego Chargers,@,New York Jets,boxscore,27,17,223,0,225,2,New York Jets,San Diego Chargers
16,Sun,2012-12-23,1:03PM,Washington Redskins,@,Philadelphia Eagles,boxscore,27,20,313,1,411,2,Philadelphia Eagles,Washington Redskins
16,Sun,2012-12-23,1:03PM,St. Louis Rams,@,Tampa Bay Buccaneers,boxscore,28,13,285,2,429,5,Tampa Bay Buccaneers,St. Louis Rams
16,Sun,2012-12-23,1:04PM,Carolina Panthers,,Oakland Raiders,boxscore,17,6,271,2,189,1,Carolina Panthers,Oakland Raiders
16,Sun,2012-12-23,4:05PM,Denver Broncos,,Cleveland Browns,boxscore,34,12,457,1,233,1,Denver Broncos,Cleveland Browns
16,Sun,2012-12-23,4:25PM,Chicago Bears,@,Arizona Cardinals,boxscore,28,13,297,1,248,3,Arizona Cardinals,Chicago Bears
16,Sun,2012-12-23,4:25PM,Baltimore Ravens,,New York Giants,boxscore,33,14,533,0,186,0,Baltimore Ravens,New York Giants
16,Sun,2012-12-23,8:31PM,Seattle Seahawks,,San Francisco 49ers,boxscore,42,13,346,1,313,2,Seattle Seahawks,San Francisco 49ers
17,Sun,2012-12-30,1:02PM,Tampa Bay Buccaneers,@,Atlanta Falcons,boxscore,22,17,366,1,278,0,Atlanta Falcons,Tampa Bay Buccaneers
17,Sun,2012-12-30,1:02PM,Buffalo Bills,,New York Jets,boxscore,28,9,334,1,332,2,Buffalo Bills,New York Jets
17,Sun,2012-12-30,1:02PM,Pittsburgh Steelers,,Cleveland Browns,boxscore,24,10,212,0,320,4,Pittsburgh Steelers,Cleveland Browns
17,Sun,2012-12-30,1:02PM,Indianapolis Colts,,Houston Texans,boxscore,28,16,265,0,352,2,Indianapolis Colts,Houston Texans
17,Sun,2012-12-30,1:02PM,Tennessee Titans,,Jacksonville Jaguars,boxscore,38,20,221,0,375,3,Tennessee Titans,Jacksonville Jaguars
17,Sun,2012-12-30,1:03PM,Carolina Panthers,@,New Orleans Saints,boxscore,44,38,530,1,441,1,New Orleans Saints,Carolina Panthers
17,Sun,2012-12-30,1:03PM,Chicago Bears,@,Detroit Lions,boxscore,26,24,389,0,327,4,Detroit Lions,Chicago Bears
17,Sun,2012-12-30,1:03PM,Cincinnati Bengals,,Baltimore Ravens,boxscore,23,17,189,0,352,1,Cincinnati Bengals,Baltimore Ravens
17,Sun,2012-12-30,1:04PM,New York Giants,,Philadelphia Eagles,boxscore,42,7,397,0,317,1,New York Giants,Philadelphia Eagles
17,Sun,2012-12-30,4:21PM,San Diego Chargers,,Oakland Raiders,boxscore,24,21,210,0,265,1,San Diego Chargers,Oakland Raiders
17,Sun,2012-12-30,4:25PM,San Francisco 49ers,,Arizona Cardinals,boxscore,27,13,407,0,262,2,San Francisco 49ers,Arizona Cardinals
17,Sun,2012-12-30,4:25PM,Denver Broncos,,Kansas City Chiefs,boxscore,38,3,488,1,119,0,Denver Broncos,Kansas City Chiefs
17,Sun,2012-12-30,4:25PM,Minnesota Vikings,,Green Bay Packers,boxscore,37,34,444,0,405,1,Minnesota Vikings,Green Bay Packers
17,Sun,2012-12-30,4:25PM,New England Patriots,,Miami Dolphins,boxscore,28,0,443,0,256,2,New England Patriots,Miami Dolphins
17,Sun,2012-12-30,4:26PM,Seattle Seahawks,,St. Louis Rams,boxscore,20,13,362,0,331,1,Seattle Seahawks,St. Louis Rams
17,Sun,2012-12-30,8:31PM,Washington Redskins,,Dallas Cowboys,boxscore,28,18,361,0,296,3,Washington Redskins,Dallas Cowboys
18,Sat,2013-01-05,4:35PM,Houston Texans,,Cincinnati Bengals,boxscore,19,13,420,1,198,1,Houston Texans,Cincinnati Bengals
18,Sat,2013-01-05,8:09PM,Green Bay Packers,,Minnesota Vikings,boxscore,24,10,326,0,324,3,Green Bay Packers,Minnesota Vikings
18,Sun,2013-01-06,1:07PM,Baltimore Ravens,,Indianapolis Colts,boxscore,24,9,439,2,419,2,Baltimore Ravens,Indianapolis Colts
18,Sun,2013-01-06,4:40PM,Seattle Seahawks,@,Washington Redskins,boxscore,24,14,380,1,203,2,Washington Redskins,Seattle Seahawks
19,Sat,2013-01-12,4:36PM,Baltimore Ravens,@,Denver Broncos,boxscore,38,35,479,1,398,3,Denver Broncos,Baltimore Ravens
19,Sat,2013-01-12,8:25PM,San Francisco 49ers,,Green Bay Packers,boxscore,45,31,579,1,352,2,San Francisco 49ers,Green Bay Packers
19,Sun,2013-01-13,1:05PM,Atlanta Falcons,,Seattle Seahawks,boxscore,30,28,417,2,491,2,Atlanta Falcons,Seattle Seahawks
19,Sun,2013-01-13,4:40PM,New England Patriots,,Houston Texans,boxscore,41,28,457,0,425,1,New England Patriots,Houston Texans
20,Sun,2013-01-20,3:05PM,San Francisco 49ers,@,Atlanta Falcons,boxscore,28,24,373,1,477,2,Atlanta Falcons,San Francisco 49ers
20,Sun,2013-01-20,6:40PM,Baltimore Ravens,@,New England Patriots,boxscore,28,13,356,0,428,3,New England Patriots,Baltimore Ravens
21,Sun,2013-02-03,6:31PM,Baltimore Ravens,N,San Francisco 49ers,boxscore,34,31,367,1,468,2,Baltimore Ravens,San Francisco 49ers
